product_type,sku,estimated_price,availability,number_of_products_sold,revenue_generated,customer_demographics,stock_levels,lead_times,order_quantities,shipping_times,shipping_carriers,shipping_costs,supplier_name,location,lead_time,production_volumes,manufacturing_lead_time,manufacturing_costs,inspection_results,defect_rates,transportation_modes,routes,costs,demurrage,demurrage_bin
cosmetics,C642679-1301/00,10540.0,37.0,491.0,6332.92,Non-binary,4.0,24.0,88.0,7.0,Carrier C,561.0,Supplier 2,Bangalore,10.0,203.0,11.0,76.64,Pending,1.31,Road,Route_C,479.29,0.0,False
haircare,C642665-1301/00,66870.0,95.0,558.0,5730.23,Female,44.0,12.0,47.0,1.0,Carrier C,158.0,Supplier 2,Kolkata,24.0,147.0,26.0,81.13,Pass,1.48,Road,Route_B,803.22,0.0,False
haircare,C640343-0142/02,28980.0,91.0,783.0,8041.29,Female,54.0,18.0,85.0,8.0,Carrier C,449.0,Supplier 2,Kolkata,2.0,246.0,28.0,58.27,Pass,4.04,Air,Route_B,538.29,0.0,False
cosmetics,R170500-0000/00,2410.0,62.0,879.0,8163.45,Unknown,12.0,23.0,89.0,6.0,Carrier A,253.0,Supplier 3,Chennai,13.0,108.0,27.0,35.18,Pending,0.97,Air,Route_B,698.13,0.0,False
skincare,C628082-47365/0,28530.0,97.0,13.0,5760.34,Unknown,35.0,28.0,81.0,5.0,Carrier B,669.0,Supplier 2,Delhi,1.0,321.0,9.0,49.91,Pass,4.16,Rail,Route_C,897.79,0.0,False
cosmetics,C641765-20412/7,16329.999999999998,87.0,341.0,8288.46,Female,80.0,16.0,24.0,4.0,Carrier A,497.0,Supplier 3,Delhi,16.0,684.0,26.0,52.4,Pass,0.91,Sea,Route_A,906.47,1817085.0,True
haircare,T020122-0000/00,44560.0,66.0,812.0,3729.28,Female,20.0,20.0,34.0,2.0,Carrier A,726.0,Supplier 5,Kolkata,20.0,348.0,10.0,80.19,Fail,1.05,Road,Route_C,260.11,0.0,False
cosmetics,C623548-0000/20,89320.0,82.0,30.0,7531.09,Non-binary,33.0,8.0,68.0,3.0,Carrier B,297.0,Supplier 2,Chennai,21.0,696.0,7.0,54.34,Fail,1.23,Road,Route_B,623.12,0.0,False
skincare,C518009-0000/04,91640.0,43.0,40.0,6872.06,Non-binary,85.0,29.0,55.0,3.0,Carrier A,244.0,Supplier 3,Delhi,4.0,949.0,28.0,26.74,Pass,4.11,Sea,Route_B,879.76,1946808.0,True
cosmetics,C518007-0000/29,64640.0,50.0,739.0,4549.79,Unknown,6.0,3.0,64.0,8.0,Carrier A,820.0,Supplier 4,Bangalore,10.0,861.0,14.0,36.84,Pass,2.54,Road,Route_C,206.6,0.0,False
cosmetics,C651282-520A/27,66290.0,35.0,981.0,6459.3,Female,37.0,21.0,77.0,4.0,Carrier C,436.0,Supplier 3,Delhi,25.0,184.0,20.0,59.6,Pending,2.09,Rail,Route_B,162.91,0.0,False
skincare,C651265-492A/72,99230.0,9.0,207.0,4182.34,Unknown,63.0,21.0,71.0,8.0,Carrier B,800.0,Supplier 3,Delhi,12.0,391.0,29.0,47.25,Pending,4.56,Sea,Route_B,295.33,1951926.0,True
skincare,C651265-486A/27,4660.0,98.0,932.0,9949.61,Female,80.0,21.0,23.0,7.0,Carrier A,520.0,Supplier 5,Chennai,12.0,745.0,13.0,29.6,Fail,3.26,Air,Route_A,254.43,2136303.0,True
cosmetics,C642044-15519/4,90380.0,87.0,105.0,7771.32,Female,25.0,11.0,47.0,4.0,Carrier C,520.0,Supplier 5,Mumbai,12.0,900.0,15.0,60.71,Pass,0.12,Rail,Route_C,733.12,1461501.0,True
cosmetics,C643382-671A/61,40770.0,90.0,166.0,2639.55,Unknown,86.0,8.0,4.0,3.0,Carrier A,191.0,Supplier 5,Delhi,15.0,634.0,6.0,31.08,Pending,0.02,Air,Route_A,178.37,1403571.0,True
haircare,C643382-373A/68,15700.0,94.0,615.0,6323.64,Male,55.0,10.0,63.0,2.0,Carrier C,601.0,Supplier 1,Kolkata,5.0,861.0,14.0,49.39,Pending,1.82,Road,Route_B,751.44,1439444.0,True
cosmetics,C643365-374A/18,28960.0,81.0,979.0,3649.61,Non-binary,22.0,11.0,23.0,3.0,Carrier B,593.0,Supplier 5,Delhi,15.0,177.0,17.0,91.76,Pending,1.92,Air,Route_C,414.37,1480364.0,True
skincare,C643365-373A/18,57900.0,71.0,470.0,9401.97,Male,88.0,24.0,20.0,6.0,Carrier A,407.0,Supplier 2,Mumbai,18.0,538.0,14.0,98.2,Pending,1.57,Sea,Route_B,622.33,850900.0,True
haircare,C643345-374A/68,27380.0,63.0,587.0,1977.32,Unknown,66.0,24.0,32.0,9.0,Carrier A,927.0,Supplier 2,Mumbai,20.0,581.0,7.0,65.57,Pass,1.86,Road,Route_A,443.17,0.0,False
cosmetics,C553530-0000/10,82320.0,50.0,610.0,4318.89,Non-binary,43.0,10.0,20.0,9.0,Carrier B,194.0,Supplier 3,Delhi,6.0,228.0,16.0,33.91,Pass,0.42,Rail,Route_B,483.13,2376750.0,True
skincare,C622965-21369/1,37250.0,73.0,600.0,9679.92,Male,71.0,16.0,15.0,5.0,Carrier A,603.0,Supplier 4,Kolkata,7.0,540.0,12.0,83.69,Pass,2.94,Road,Route_C,466.96,0.0,False
skincare,R089751-0000/20,40260.0,63.0,545.0,8622.57,Female,82.0,10.0,52.0,3.0,Carrier A,288.0,Supplier 5,Chennai,10.0,458.0,5.0,44.15,Pass,2.39,Sea,Route_C,418.27,1865136.0,True
skincare,R089751-0000/06,19030.0,5.0,98.0,8819.51,Unknown,86.0,26.0,33.0,7.0,Carrier B,326.0,Supplier 4,Delhi,22.0,488.0,23.0,81.45,Fail,4.79,Sea,Route_B,226.35,2058968.0,True
cosmetics,D461000-116A/00,97460.0,82.0,18.0,4713.45,Unknown,99.0,28.0,41.0,5.0,Carrier A,301.0,Supplier 4,Chennai,25.0,364.0,29.0,12.32,Pass,2.51,Rail,Route_C,437.53,0.0,False
skincare,D461000-F016/00,29060.0,86.0,190.0,4425.35,Unknown,12.0,9.0,46.0,6.0,Carrier A,544.0,Supplier 3,Mumbai,25.0,636.0,27.0,35.1,Pass,3.15,Rail,Route_C,571.26,0.0,False
cosmetics,D461000-F017/00,71090.0,16.0,177.0,2697.14,Female,64.0,23.0,32.0,5.0,Carrier C,305.0,Supplier 5,Kolkata,26.0,214.0,28.0,82.37,Fail,2.01,Rail,Route_B,895.48,0.0,False
haircare,B280923-22861/0,87040.0,62.0,828.0,4769.39,Unknown,1.0,23.0,53.0,1.0,Carrier C,104.0,Supplier 4,Delhi,12.0,580.0,8.0,33.06,Pass,0.85,Rail,Route_C,542.85,0.0,False
skincare,B280910-22861/0,59230.0,10.0,34.0,5358.28,Male,87.0,13.0,71.0,9.0,Carrier A,178.0,Supplier 1,Bangalore,29.0,883.0,28.0,59.46,Pass,1.48,Road,Route_C,333.99,687899.0,True
haircare,B280933-22843/0,57290.0,83.0,515.0,1104.26,Non-binary,30.0,12.0,22.0,1.0,Carrier B,510.0,Supplier 2,Kolkata,11.0,762.0,5.0,20.97,Pending,4.05,Air,Route_A,748.89,0.0,False
haircare,B280233-19280/0,18120.0,48.0,631.0,2991.21,Non-binary,17.0,1.0,76.0,2.0,Carrier A,886.0,Supplier 1,Kolkata,5.0,453.0,17.0,72.54,Fail,3.27,Air,Route_A,730.65,0.0,False
skincare,B280225-19280/0,20890.0,7.0,726.0,1394.97,Unknown,12.0,28.0,93.0,9.0,Carrier B,104.0,Supplier 2,Kolkata,12.0,664.0,20.0,69.53,Pending,3.31,Air,Route_B,866.56,1378562.0,True
haircare,B280223-19280/0,15960.0,10.0,949.0,7622.19,Male,83.0,8.0,8.0,2.0,Carrier A,112.0,Supplier 4,Mumbai,25.0,125.0,23.0,84.59,Pass,4.65,Rail,Route_C,654.63,0.0,False
haircare,B280205-19280/0,41520.0,63.0,247.0,7839.56,Unknown,27.0,7.0,87.0,8.0,Carrier B,617.0,Supplier 4,Bangalore,18.0,379.0,5.0,16.79,Pending,2.09,Road,Route_B,403.78,1612673.0,True
haircare,B280110-19678/0,19440.0,59.0,407.0,3874.56,Male,47.0,4.0,56.0,3.0,Carrier B,822.0,Supplier 1,Bangalore,22.0,298.0,18.0,99.05,Pass,3.8,Rail,Route_A,454.45,0.0,False
skincare,B280105-19678/0,82230.0,58.0,659.0,9267.62,Female,11.0,24.0,3.0,2.0,Carrier A,227.0,Supplier 5,Bangalore,15.0,353.0,18.0,89.05,Pass,3.22,Road,Route_A,858.39,1905351.0,True
haircare,B280133-19671/0,1330.0,31.0,586.0,9165.86,Female,91.0,18.0,36.0,2.0,Carrier C,267.0,Supplier 1,Bangalore,22.0,908.0,8.0,32.48,Pass,2.8,Road,Route_A,806.04,0.0,False
cosmetics,B280130-19671/0,68020.0,94.0,227.0,8919.33,Non-binary,91.0,18.0,1.0,4.0,Carrier B,532.0,Supplier 3,Delhi,5.0,497.0,26.0,25.76,Pass,3.44,Rail,Route_B,207.66,2458373.0,True
haircare,B280110-19671/0,49180.0,89.0,330.0,3194.39,Female,25.0,4.0,17.0,6.0,Carrier A,483.0,Supplier 1,Delhi,27.0,604.0,29.0,18.61,Pass,1.05,Rail,Route_B,921.94,766294.0,True
haircare,C637682-27265/7,93870.0,1.0,995.0,7324.55,Non-binary,99.0,26.0,4.0,7.0,Carrier A,284.0,Supplier 2,Chennai,5.0,182.0,26.0,42.34,Pending,2.08,Air,Route_B,419.38,0.0,False
cosmetics,C637682-27265/1,57210.0,23.0,872.0,2049.94,Non-binary,97.0,26.0,30.0,2.0,Carrier A,229.0,Supplier 2,Mumbai,18.0,881.0,6.0,31.74,Fail,2.9,Air,Route_C,252.98,0.0,False
skincare,C637682-27261/1,74610.0,86.0,798.0,1986.05,Male,65.0,21.0,23.0,4.0,Carrier C,540.0,Supplier 4,Delhi,25.0,461.0,17.0,36.54,Pass,1.17,Air,Route_A,928.14,0.0,False
cosmetics,C637682-27241/2,58030.0,79.0,999.0,1473.37,Male,11.0,14.0,57.0,7.0,Carrier A,329.0,Supplier 2,Kolkata,21.0,981.0,25.0,78.83,Pending,4.94,Rail,Route_A,704.9,0.0,False
haircare,C637665-27265/7,38000.0,84.0,360.0,5021.5,Unknown,59.0,11.0,77.0,5.0,Carrier C,476.0,Supplier 4,Bangalore,24.0,549.0,22.0,51.01,Fail,1.21,Road,Route_B,223.69,2008207.0,True
haircare,C637665-27241/4,58410.0,73.0,823.0,7344.75,Non-binary,56.0,2.0,39.0,2.0,Carrier C,495.0,Supplier 3,Bangalore,17.0,797.0,25.0,51.31,Fail,1.87,Rail,Route_C,318.03,0.0,False
haircare,C628182-19676/1,47040.0,97.0,466.0,2116.02,Male,39.0,23.0,80.0,7.0,Carrier A,922.0,Supplier 2,Bangalore,11.0,428.0,16.0,17.27,Pending,4.03,Road,Route_C,680.86,0.0,False
skincare,C628182-19658/5,89690.0,46.0,207.0,5204.19,Female,69.0,20.0,2.0,2.0,Carrier C,138.0,Supplier 4,Mumbai,20.0,977.0,12.0,68.34,Pass,4.52,Air,Route_B,139.67,431616.0,True
haircare,C628165-19658/0,71650.0,99.0,650.0,2523.19,Unknown,70.0,29.0,44.0,5.0,Carrier C,946.0,Supplier 2,Bangalore,28.0,861.0,18.0,47.27,Pending,2.8,Sea,Route_B,128.84,1700961.0,True
skincare,C627982-48118/5,91270.0,9.0,892.0,9515.49,Male,60.0,13.0,59.0,5.0,Carrier B,469.0,Supplier 2,Chennai,22.0,790.0,25.0,84.46,Pending,1.48,Rail,Route_A,467.99,0.0,False
haircare,C639801-00153/X,89730.0,60.0,225.0,9789.86,Male,4.0,19.0,71.0,8.0,Carrier B,877.0,Supplier 1,Chennai,21.0,955.0,9.0,50.42,Pass,3.57,Air,Route_B,750.18,0.0,False
cosmetics,C636601-234X/00,6090.0,14.0,920.0,4274.62,Unknown,40.0,15.0,43.0,5.0,Carrier A,192.0,Supplier 1,Mumbai,23.0,744.0,5.0,28.01,Pending,0.85,Road,Route_A,221.61,0.0,False
skincare,C636601-295X/00,86700.0,3.0,867.0,7085.64,Unknown,13.0,9.0,58.0,6.0,Carrier C,292.0,Supplier 3,Mumbai,21.0,376.0,16.0,49.55,Pending,1.31,Air,Route_B,531.88,0.0,False
skincare,C651344-0531/A2,81450.0,61.0,601.0,3995.49,Male,27.0,19.0,69.0,7.0,Carrier C,482.0,Supplier 3,Delhi,10.0,205.0,26.0,82.32,Pass,2.43,Road,Route_A,447.44,0.0,False
haircare,C651304-5570/A1,18450.0,51.0,643.0,6715.32,Male,49.0,18.0,30.0,5.0,Carrier C,995.0,Supplier 1,Kolkata,16.0,127.0,5.0,62.25,Pending,4.84,Road,Route_C,260.31,896358.0,True
skincare,C651361-0750/A1,63230.0,16.0,156.0,8291.5,Non-binary,81.0,7.0,95.0,5.0,Carrier B,518.0,Supplier 5,Mumbai,21.0,453.0,5.0,37.21,Pass,0.72,Air,Route_A,232.77,0.0,False
skincare,C651304-0750/A1,85160.0,19.0,727.0,1907.19,Female,5.0,25.0,17.0,9.0,Carrier C,139.0,Supplier 3,Chennai,1.0,871.0,6.0,38.2,Pass,3.49,Rail,Route_C,201.16,495866.0,True
skincare,C639862-00729/K,66930.0,43.0,69.0,7231.04,Unknown,97.0,24.0,11.0,7.0,Carrier A,338.0,Supplier 4,Mumbai,17.0,187.0,8.0,84.26,Pending,2.09,Sea,Route_B,286.55,0.0,False
cosmetics,C639801-00821/R,62770.0,23.0,402.0,9487.53,Non-binary,31.0,13.0,93.0,2.0,Carrier C,957.0,Supplier 4,Kolkata,27.0,835.0,28.0,91.95,Pass,2.8,Sea,Route_B,727.23,830713.0,True
cosmetics,C639801-00820/E,18920.0,26.0,693.0,1881.97,Unknown,21.0,11.0,32.0,2.0,Carrier B,214.0,Supplier 5,Chennai,28.0,641.0,9.0,93.71,Fail,3.1,Air,Route_A,647.29,2499548.0,True
skincare,C651404-0939/D3,53270.0,36.0,909.0,3728.3,Non-binary,67.0,28.0,37.0,7.0,Carrier A,550.0,Supplier 4,Mumbai,4.0,578.0,12.0,62.73,Pending,3.88,Air,Route_A,431.89,0.0,False
skincare,C651458-0137/D3,23580.0,16.0,527.0,4613.68,Unknown,50.0,7.0,67.0,9.0,Carrier A,134.0,Supplier 4,Mumbai,29.0,168.0,19.0,84.12,Pending,3.17,Rail,Route_A,797.57,0.0,False
cosmetics,C636974-1825/HY,13560.0,79.0,867.0,5006.55,Unknown,85.0,25.0,51.0,5.0,Carrier A,793.0,Supplier 1,Mumbai,4.0,727.0,13.0,17.64,Fail,0.7,Sea,Route_A,690.58,2485969.0,True
cosmetics,C636904-0523/1X,65540.0,98.0,693.0,3571.87,Female,97.0,13.0,56.0,2.0,Carrier B,456.0,Supplier 4,Delhi,5.0,108.0,26.0,93.86,Pass,4.18,Road,Route_C,363.33,0.0,False
skincare,C636904-1522/KZ,51800.0,79.0,874.0,9308.72,Unknown,82.0,12.0,84.0,1.0,Carrier B,117.0,Supplier 5,Mumbai,27.0,489.0,23.0,25.62,Fail,0.99,Rail,Route_A,843.03,1482661.0,True
haircare,R017200-0000/06,16530.0,64.0,104.0,7580.96,Female,22.0,24.0,1.0,7.0,Carrier B,832.0,Supplier 4,Chennai,24.0,323.0,27.0,68.73,Pass,2.11,Sea,Route_B,709.11,1343527.0,True
skincare,C300217-0000/02,50720.0,71.0,6.0,6809.38,Unknown,83.0,1.0,26.0,9.0,Carrier A,879.0,Supplier 5,Mumbai,1.0,730.0,13.0,71.06,Pending,2.12,Road,Route_A,546.54,671848.0,True
haircare,C300214-0000/02,35700.0,85.0,385.0,5058.47,Non-binary,58.0,2.0,84.0,9.0,Carrier B,643.0,Supplier 4,Kolkata,29.0,294.0,5.0,33.25,Pending,0.58,Air,Route_B,274.97,0.0,False
skincare,C300209-0000/02,76200.0,38.0,340.0,5285.22,Female,77.0,11.0,8.0,6.0,Carrier B,123.0,Supplier 5,Delhi,14.0,634.0,5.0,85.94,Fail,2.97,Air,Route_B,575.06,810279.0,True
cosmetics,C300217-0000/04,52720.0,21.0,387.0,6637.92,Unknown,18.0,2.0,76.0,9.0,Carrier C,885.0,Supplier 3,Kolkata,11.0,900.0,4.0,59.12,Fail,2.57,Air,Route_A,258.12,2207203.0,True
skincare,C300117-0000/02,51730.0,48.0,589.0,7531.78,Female,74.0,15.0,28.0,9.0,Carrier A,543.0,Supplier 3,Kolkata,17.0,580.0,17.0,50.46,Fail,2.15,Road,Route_B,171.91,706053.0,True
skincare,C300117-0000/03,57800.0,80.0,272.0,9755.83,Female,30.0,26.0,26.0,7.0,Carrier A,492.0,Supplier 4,Bangalore,8.0,374.0,5.0,49.52,Pending,1.79,Air,Route_C,901.46,910173.0,True
skincare,C300117-0000/04,77900.0,74.0,171.0,6335.31,Male,9.0,6.0,76.0,5.0,Carrier C,636.0,Supplier 2,Bangalore,4.0,244.0,25.0,78.0,Pass,3.51,Rail,Route_B,897.12,0.0,False
haircare,C915404-0538/29,66630.0,36.0,467.0,9576.26,Male,27.0,16.0,24.0,6.0,Carrier C,258.0,Supplier 2,Kolkata,24.0,384.0,27.0,63.57,Pending,4.51,Air,Route_C,251.09,0.0,False
cosmetics,C821111-0565/29,42040.0,83.0,475.0,6406.91,Male,35.0,7.0,21.0,5.0,Carrier B,647.0,Supplier 4,Kolkata,22.0,932.0,3.0,85.71,Pass,1.86,Sea,Route_A,929.92,1177761.0,True
cosmetics,C574843-0553/01,45260.0,21.0,559.0,1370.07,Non-binary,46.0,26.0,94.0,9.0,Carrier A,554.0,Supplier 3,Bangalore,20.0,421.0,18.0,87.15,Fail,4.96,Rail,Route_B,565.9,0.0,False
haircare,C915301-0570/29,22210.0,37.0,171.0,6747.62,Male,88.0,6.0,15.0,6.0,Carrier A,599.0,Supplier 4,Kolkata,1.0,209.0,25.0,14.17,Fail,3.17,Road,Route_B,347.54,0.0,False
skincare,C915205-0613/30,71430.0,46.0,983.0,7734.64,Non-binary,97.0,6.0,79.0,9.0,Carrier C,319.0,Supplier 3,Bangalore,14.0,944.0,9.0,10.84,Pass,0.51,Rail,Route_A,725.69,0.0,False
skincare,C915207-0616/30,79540.0,48.0,121.0,5550.38,Male,65.0,13.0,58.0,6.0,Carrier C,316.0,Supplier 4,Delhi,9.0,320.0,27.0,39.56,Pass,2.81,Air,Route_A,412.33,0.0,False
cosmetics,U020519-0000/02,21460.0,64.0,118.0,2857.64,Non-binary,1.0,5.0,78.0,7.0,Carrier A,390.0,Supplier 3,Bangalore,27.0,193.0,6.0,82.87,Fail,3.12,Road,Route_A,597.28,0.0,False
cosmetics,U020518-0000/02,34220.0,54.0,887.0,4181.57,Female,49.0,24.0,70.0,5.0,Carrier B,344.0,Supplier 4,Mumbai,8.0,455.0,26.0,64.96,Fail,0.21,Sea,Route_A,663.12,577489.0,True
haircare,B250661800005,91640.0,3.0,675.0,5347.17,Non-binary,92.0,27.0,4.0,5.0,Carrier C,519.0,Supplier 4,Kolkata,26.0,453.0,18.0,52.47,Pending,1.17,Road,Route_B,124.79,0.0,False
skincare,B250663000004,28220.0,32.0,843.0,7312.61,Female,53.0,3.0,3.0,2.0,Carrier C,715.0,Supplier 1,Delhi,28.0,997.0,23.0,96.27,Pending,4.29,Road,Route_C,914.04,0.0,False
cosmetics,B250663000003,20880.0,10.0,820.0,4055.52,Male,28.0,10.0,32.0,8.0,Carrier C,524.0,Supplier 1,Mumbai,28.0,302.0,28.0,36.52,Fail,0.54,Air,Route_C,144.01,0.0,False
skincare,B250662100001,69780.0,34.0,568.0,7886.52,Male,24.0,5.0,7.0,2.0,Carrier A,235.0,Supplier 4,Mumbai,20.0,807.0,21.0,28.47,Fail,1.54,Road,Route_B,992.69,2065084.0,True
haircare,B250661700001,14060.0,98.0,277.0,6241.21,Non-binary,48.0,4.0,44.0,2.0,Carrier B,901.0,Supplier 2,Kolkata,7.0,473.0,23.0,35.77,Pending,0.41,Rail,Route_C,412.41,921711.0,True
cosmetics,C817415-0002/00,38270.0,94.0,647.0,4867.55,Female,78.0,6.0,33.0,4.0,Carrier B,257.0,Supplier 1,Delhi,2.0,446.0,19.0,58.19,Pass,3.25,Sea,Route_A,534.39,709254.0,True
cosmetics,C817415-0001/00,62090.0,16.0,185.0,4736.67,Unknown,24.0,25.0,37.0,3.0,Carrier B,650.0,Supplier 1,Bangalore,16.0,660.0,13.0,49.79,Pass,4.68,Sea,Route_C,453.45,2277941.0,True
haircare,B152081000001,78350.0,95.0,565.0,4290.59,Unknown,56.0,19.0,22.0,2.0,Carrier C,273.0,Supplier 5,Delhi,8.0,410.0,6.0,37.74,Pending,3.07,Road,Route_A,975.74,0.0,False
haircare,B152061000001,11370.0,66.0,728.0,2020.29,Non-binary,16.0,17.0,96.0,2.0,Carrier B,204.0,Supplier 5,Chennai,4.0,598.0,7.0,44.98,Pending,2.17,Air,Route_A,275.96,1620777.0,True
cosmetics,B152051400001,94410.0,28.0,343.0,8029.58,Male,80.0,23.0,81.0,2.0,Carrier B,236.0,Supplier 4,Delhi,6.0,802.0,26.0,46.01,Pending,4.08,Sea,Route_A,401.45,0.0,False
skincare,B152032000001,79030.0,8.0,385.0,1271.44,Female,4.0,7.0,41.0,6.0,Carrier C,215.0,Supplier 2,Bangalore,3.0,495.0,3.0,39.42,Pass,1.23,Rail,Route_B,462.39,0.0,False
haircare,B152071400001,96600.0,47.0,180.0,2304.51,Female,1.0,20.0,64.0,1.0,Carrier C,930.0,Supplier 3,Chennai,21.0,903.0,17.0,45.52,Fail,4.66,Rail,Route_C,630.29,0.0,False
haircare,C641382-7438A/1,99140.0,68.0,544.0,8606.0,Male,62.0,2.0,32.0,7.0,Carrier B,606.0,Supplier 1,Chennai,8.0,625.0,24.0,91.51,Pending,2.15,Sea,Route_C,329.22,2339282.0,True
haircare,C641189-7766/00,16120.000000000002,52.0,772.0,1388.33,Non-binary,61.0,8.0,66.0,4.0,Carrier C,224.0,Supplier 3,Delhi,10.0,181.0,17.0,41.05,Pass,1.19,Sea,Route_C,965.94,0.0,False
skincare,C641489-6930/00,99990.0,41.0,512.0,1616.21,Non-binary,8.0,16.0,70.0,3.0,Carrier A,122.0,Supplier 2,Chennai,28.0,849.0,21.0,39.18,Pass,2.65,Air,Route_B,277.01,1520085.0,True
haircare,C635629-6280/00,84780.0,43.0,108.0,1424.59,Male,82.0,15.0,19.0,9.0,Carrier B,322.0,Supplier 1,Bangalore,23.0,502.0,1.0,52.48,Pending,3.76,Rail,Route_A,295.44,684806.0,True
skincare,C641365-7422/00,47430.0,65.0,354.0,6460.07,Male,94.0,23.0,9.0,3.0,Carrier B,472.0,Supplier 2,Mumbai,7.0,580.0,12.0,19.86,Pass,3.44,Air,Route_A,631.54,0.0,False
haircare,C651717-8388/00,37920.0,96.0,148.0,1201.2,Non-binary,5.0,21.0,70.0,4.0,Carrier C,999.0,Supplier 5,Chennai,22.0,478.0,25.0,25.9,Pass,4.39,Air,Route_B,852.88,0.0,False
cosmetics,C651717-8386/00,13150.0,69.0,899.0,6178.67,Male,48.0,2.0,17.0,5.0,Carrier A,276.0,Supplier 4,Chennai,21.0,451.0,24.0,77.43,Pass,4.06,Road,Route_B,519.85,0.0,False
cosmetics,C641117-8265/00,95630.0,11.0,468.0,8034.73,Male,79.0,18.0,20.0,1.0,Carrier B,413.0,Supplier 1,Chennai,16.0,858.0,19.0,54.35,Fail,1.58,Rail,Route_B,815.6,0.0,False
haircare,C641117-8180/00,37550.0,71.0,703.0,6418.42,Non-binary,20.0,22.0,19.0,5.0,Carrier A,328.0,Supplier 3,Kolkata,27.0,576.0,8.0,58.37,Fail,1.57,Sea,Route_A,450.56,0.0,False
cosmetics,C641182-8169/00,91060.0,17.0,818.0,9497.82,Male,62.0,15.0,2.0,2.0,Carrier B,390.0,Supplier 4,Mumbai,13.0,698.0,28.0,20.62,Pass,0.6,Road,Route_A,887.77,0.0,False
skincare,C641165-8169/00,39480.0,14.0,111.0,8016.49,Unknown,21.0,17.0,81.0,5.0,Carrier B,273.0,Supplier 5,Delhi,13.0,939.0,29.0,90.54,Fail,3.87,Rail,Route_A,643.76,1495766.0,True
cosmetics,C641101-8169/00,59650.0,65.0,499.0,7313.61,Unknown,70.0,28.0,11.0,6.0,Carrier A,619.0,Supplier 3,Kolkata,5.0,224.0,4.0,79.03,Pending,3.52,Road,Route_A,274.31,0.0,False
cosmetics,C641317-8196A/3,53800.0,75.0,920.0,2367.45,Male,53.0,7.0,6.0,8.0,Carrier B,719.0,Supplier 5,Mumbai,2.0,778.0,20.0,32.38,Fail,2.76,Sea,Route_C,737.9,0.0,False
cosmetics,C640079-25289/3,28420.0,70.0,285.0,8887.01,Unknown,45.0,16.0,59.0,2.0,Carrier A,160.0,Supplier 3,Chennai,22.0,333.0,4.0,54.81,Pending,4.41,Road,Route_A,901.1,0.0,False
haircare,C640079-25289/2,66190.0,50.0,200.0,2868.33,Unknown,96.0,10.0,99.0,9.0,Carrier C,380.0,Supplier 2,Chennai,25.0,521.0,26.0,13.25,Fail,1.24,Rail,Route_C,997.71,0.0,False
cosmetics,C640079-25289/1,9600.0,16.0,957.0,2347.5,Male,57.0,16.0,80.0,1.0,Carrier B,324.0,Supplier 3,Bangalore,16.0,804.0,6.0,91.42,Pending,2.83,Sea,Route_C,508.29,480352.0,True
haircare,C640065-25289/1,95290.0,32.0,443.0,4416.5,Male,42.0,19.0,87.0,1.0,Carrier C,775.0,Supplier 5,Bangalore,15.0,292.0,28.0,82.49,Pending,1.29,Rail,Route_A,154.96,0.0,False
cosmetics,C640057-25320/3,13420.0,27.0,827.0,1669.12,Male,8.0,24.0,45.0,1.0,Carrier B,642.0,Supplier 3,Delhi,28.0,471.0,25.0,49.65,Pass,0.22,Air,Route_C,669.43,0.0,False
skincare,C640057-25289/2,62390.0,91.0,1.0,8135.76,Female,66.0,26.0,86.0,3.0,Carrier A,590.0,Supplier 4,Kolkata,15.0,810.0,28.0,64.45,Pending,4.23,Sea,Route_A,817.83,0.0,False
haircare,C570151-21176/4,86920.0,29.0,564.0,9641.17,Male,46.0,3.0,98.0,9.0,Carrier B,438.0,Supplier 1,Kolkata,8.0,556.0,19.0,99.14,Fail,0.64,Sea,Route_B,961.1,0.0,False
skincare,C570143-21176/3,88180.0,22.0,264.0,8936.03,Female,54.0,6.0,42.0,3.0,Carrier A,974.0,Supplier 1,Delhi,18.0,812.0,22.0,59.64,Pending,4.79,Road,Route_C,409.64,1805104.0,True
haircare,C570143-21092/1,1990.0,57.0,942.0,3833.23,Non-binary,64.0,12.0,51.0,9.0,Carrier B,763.0,Supplier 2,Mumbai,10.0,669.0,21.0,46.19,Pass,0.82,Sea,Route_B,982.31,1232155.0,True
cosmetics,C570140-22987/4,87720.0,96.0,817.0,1144.99,Male,33.0,26.0,55.0,7.0,Carrier B,292.0,Supplier 2,Kolkata,17.0,179.0,21.0,84.23,Fail,0.85,Air,Route_C,798.13,0.0,False
cosmetics,C650917-F152A/0,49090.0,56.0,795.0,4273.59,Male,78.0,15.0,11.0,1.0,Carrier A,978.0,Supplier 5,Delhi,17.0,159.0,22.0,75.29,Fail,3.91,Sea,Route_A,683.59,0.0,False
cosmetics,C650056-0000/25,11550.0,52.0,206.0,3265.52,Non-binary,69.0,20.0,27.0,1.0,Carrier C,483.0,Supplier 2,Bangalore,11.0,505.0,6.0,53.61,Pending,0.75,Rail,Route_A,807.33,0.0,False
haircare,C650056-0000/20,17990.0,83.0,241.0,6328.58,Non-binary,83.0,1.0,58.0,1.0,Carrier C,494.0,Supplier 4,Delhi,17.0,408.0,18.0,50.11,Pass,3.57,Sea,Route_C,434.91,1071599.0,True
