product_type,sku,price,availability,number_of_products_sold,revenue_generated,customer_demographics,stock_levels,lead_times,order_quantities,shipping_times,shipping_carriers,shipping_costs,supplier_name,location,lead_time,production_volumes,manufacturing_lead_time,manufacturing_costs,inspection_results,defect_rates,transportation_modes,routes,costs
cosmetics,C633645-24203/0,19.37,30.0,430.0,5961.66,Female,31.0,20.0,52.0,7.0,Carrier A,9.44,Supplier 3,Mumbai,17.0,255.0,15.0,12.53,Pass,3.96,Rail,Route_C,685.12
cosmetics,C633645-24291/0,69.0,63.0,693.0,8903.21,Female,63.0,15.0,28.0,2.0,Carrier C,5.75,Supplier 4,Chennai,22.0,634.0,25.0,69.57,Pending,3.83,Road,Route_B,979.8
cosmetics,C636130-646/732,54.74,92.0,142.0,8722.59,Unknown,79.0,9.0,71.0,8.0,Carrier B,6.49,Supplier 4,Mumbai,22.0,269.0,27.0,47.49,Fail,1.25,Sea,Route_A,391.03
skincare,C631359-05598/X,69.64,4.0,285.0,1689.54,Non-binary,83.0,23.0,31.0,8.0,Carrier B,7.69,Supplier 4,Bangalore,18.0,435.0,29.0,48.53,Fail,1.41,Air,Route_B,507.35
cosmetics,C631359-5602/0X,31.43,18.0,564.0,1314.94,Non-binary,45.0,4.0,89.0,6.0,Carrier B,6.6,Supplier 5,Bangalore,25.0,908.0,15.0,62.55,Pass,4.36,Rail,Route_B,356.68
skincare,C631359-2466/0W,70.22,25.0,621.0,5265.25,Non-binary,82.0,10.0,5.0,4.0,Carrier A,5.23,Supplier 2,Delhi,22.0,124.0,10.0,17.63,Pending,2.96,Air,Route_A,492.68
cosmetics,C631346-2466/0W,92.93,45.0,694.0,6305.59,Male,21.0,16.0,88.0,7.0,Carrier B,3.38,Supplier 1,Delhi,3.0,526.0,12.0,44.44,Fail,3.13,Rail,Route_B,736.76
cosmetics,C631343-05598/X,12.05,22.0,950.0,7201.19,Unknown,23.0,20.0,85.0,5.0,Carrier B,5.21,Supplier 4,Mumbai,14.0,150.0,2.0,24.69,Pending,3.13,Sea,Route_B,405.85
skincare,C631343-2466/0W,60.55,18.0,446.0,9327.17,Male,94.0,25.0,9.0,5.0,Carrier A,2.62,Supplier 2,Bangalore,18.0,939.0,13.0,42.43,Pass,3.78,Sea,Route_A,622.53
haircare,C642447-1381/20,59.1,96.0,298.0,6812.83,Male,48.0,29.0,9.0,1.0,Carrier C,8.81,Supplier 2,Delhi,28.0,988.0,6.0,69.54,Pass,1.68,Sea,Route_C,724.97
cosmetics,C642447-1381/10,24.89,22.0,973.0,2481.88,Unknown,34.0,18.0,65.0,1.0,Carrier B,7.01,Supplier 2,Chennai,27.0,503.0,19.0,82.08,Pass,3.5,Air,Route_C,571.4
cosmetics,B259921-003I/00,40.29,66.0,398.0,2044.66,Non-binary,80.0,18.0,23.0,9.0,Carrier C,1.08,Supplier 1,Chennai,12.0,437.0,28.0,79.63,Pass,1.72,Rail,Route_B,309.72
haircare,B259905-017B/00,64.55,60.0,476.0,9543.88,Non-binary,52.0,9.0,20.0,4.0,Carrier B,2.13,Supplier 1,Mumbai,12.0,568.0,5.0,87.66,Fail,3.07,Road,Route_B,139.14
skincare,B259905-003T/00,20.56,15.0,382.0,6603.78,Female,54.0,10.0,93.0,7.0,Carrier B,2.3,Supplier 5,Kolkata,9.0,923.0,18.0,87.02,Pass,2.19,Rail,Route_A,579.92
haircare,B291321-0003/02,61.0,26.0,531.0,7723.74,Non-binary,77.0,22.0,12.0,8.0,Carrier A,6.28,Supplier 2,Mumbai,18.0,334.0,22.0,44.27,Pending,2.04,Sea,Route_B,239.45
haircare,B291321-0002/02,42.78,60.0,122.0,6241.53,Unknown,36.0,24.0,72.0,9.0,Carrier A,5.65,Supplier 3,Delhi,26.0,622.0,2.0,57.36,Pass,4.43,Sea,Route_A,536.39
haircare,B251301-0003/35,41.84,81.0,452.0,9533.76,Male,88.0,22.0,78.0,1.0,Carrier C,7.68,Supplier 2,Mumbai,2.0,558.0,3.0,84.35,Fail,2.39,Rail,Route_B,212.46
skincare,P010100-0000/04,21.94,87.0,124.0,5056.58,Unknown,89.0,27.0,69.0,5.0,Carrier B,1.5,Supplier 2,Bangalore,17.0,850.0,2.0,74.86,Pending,4.61,Rail,Route_B,811.81
cosmetics,T021358-0000/36,80.55,95.0,387.0,2837.11,Male,63.0,18.0,79.0,8.0,Carrier A,6.25,Supplier 3,Bangalore,13.0,762.0,9.0,92.66,Pass,1.18,Sea,Route_A,255.22
skincare,T021358-0000/20,13.76,83.0,77.0,7070.54,Non-binary,70.0,4.0,90.0,2.0,Carrier B,3.77,Supplier 1,Kolkata,21.0,972.0,17.0,26.94,Fail,4.65,Sea,Route_B,608.19
haircare,T021366-0000/29,26.21,12.0,564.0,7250.64,Unknown,2.0,2.0,34.0,4.0,Carrier A,8.89,Supplier 5,Chennai,17.0,201.0,28.0,46.89,Pass,0.63,Rail,Route_A,332.37
cosmetics,T021357-0000/29,60.54,63.0,433.0,8598.54,Unknown,42.0,16.0,65.0,6.0,Carrier C,8.79,Supplier 3,Delhi,17.0,667.0,2.0,55.65,Fail,3.47,Rail,Route_B,713.52
cosmetics,T021355-0000/40,21.56,69.0,274.0,5093.92,Male,27.0,26.0,55.0,7.0,Carrier A,2.72,Supplier 2,Mumbai,1.0,445.0,2.0,74.07,Fail,1.02,Air,Route_C,137.25
skincare,T021355-0000/02,23.21,57.0,66.0,9902.63,Unknown,75.0,9.0,67.0,7.0,Carrier A,6.46,Supplier 3,Delhi,2.0,547.0,21.0,66.48,Pass,1.83,Rail,Route_A,510.03
haircare,P010700-0000/01,32.46,21.0,625.0,3150.08,Male,84.0,3.0,58.0,5.0,Carrier B,7.18,Supplier 3,Bangalore,3.0,851.0,9.0,51.23,Pending,1.81,Rail,Route_B,584.06
haircare,C616956-AZ3D/12,66.72,15.0,850.0,5409.12,Unknown,38.0,24.0,53.0,9.0,Carrier C,7.35,Supplier 4,Delhi,13.0,206.0,20.0,81.4,Fail,1.12,Road,Route_C,868.08
cosmetics,C616995-5621/35,29.42,55.0,638.0,2960.34,Unknown,20.0,18.0,79.0,4.0,Carrier C,6.66,Supplier 3,Chennai,5.0,880.0,16.0,61.01,Fail,1.36,Road,Route_C,791.63
haircare,C616908-5621/12,99.69,18.0,757.0,6514.7,Female,23.0,5.0,79.0,3.0,Carrier C,3.83,Supplier 1,Bangalore,19.0,887.0,24.0,47.03,Pending,0.48,Road,Route_A,322.84
skincare,C625683-0160/21,85.15,72.0,343.0,6293.39,Unknown,4.0,14.0,80.0,9.0,Carrier C,3.37,Supplier 5,Bangalore,6.0,347.0,15.0,59.19,Fail,2.73,Road,Route_A,191.96
cosmetics,C640479-0000/04,36.85,8.0,435.0,3739.49,Non-binary,90.0,23.0,63.0,6.0,Carrier A,3.72,Supplier 2,Kolkata,10.0,643.0,6.0,17.88,Pending,4.0,Sea,Route_B,774.51
skincare,C640465-0000/20,34.2,99.0,51.0,7205.53,Female,59.0,13.0,55.0,7.0,Carrier C,7.91,Supplier 1,Chennai,15.0,716.0,21.0,76.08,Fail,2.51,Road,Route_C,703.4
haircare,C640417-0000/02,39.21,9.0,534.0,2337.65,Unknown,47.0,7.0,24.0,2.0,Carrier C,4.79,Supplier 4,Mumbai,11.0,791.0,28.0,52.38,Fail,1.66,Rail,Route_A,497.13
cosmetics,C640265-4576/13,10.74,77.0,979.0,5896.19,Female,1.0,3.0,61.0,8.0,Carrier B,9.37,Supplier 5,Delhi,9.0,241.0,16.0,97.56,Pending,2.76,Air,Route_B,119.32
cosmetics,C640479-0526/0X,14.09,48.0,75.0,3346.33,Male,23.0,26.0,99.0,4.0,Carrier A,6.28,Supplier 4,Bangalore,3.0,898.0,10.0,88.82,Fail,4.69,Sea,Route_B,854.78
cosmetics,C640447-1802/0X,89.63,94.0,328.0,6327.36,Unknown,15.0,21.0,68.0,1.0,Carrier C,4.52,Supplier 1,Mumbai,5.0,105.0,15.0,38.25,Fail,0.32,Sea,Route_A,291.23
haircare,C640447-0725/07,48.83,27.0,39.0,7437.06,Female,72.0,9.0,84.0,4.0,Carrier C,1.69,Supplier 1,Bangalore,29.0,366.0,5.0,80.23,Fail,2.53,Road,Route_B,353.78
cosmetics,C640547-2070/0D,16.59,63.0,974.0,3524.99,Non-binary,56.0,26.0,84.0,1.0,Carrier B,9.74,Supplier 3,Mumbai,23.0,360.0,18.0,46.46,Pending,4.12,Air,Route_B,428.46
skincare,C640547-8921/0X,56.96,69.0,642.0,7366.1,Female,92.0,8.0,25.0,2.0,Carrier B,1.7,Supplier 4,Delhi,17.0,245.0,3.0,99.58,Fail,4.31,Air,Route_A,407.21
skincare,R089762-0000/18,67.48,71.0,804.0,6774.25,Female,53.0,23.0,22.0,5.0,Carrier C,5.08,Supplier 1,Bangalore,1.0,710.0,12.0,98.7,Pending,0.56,Sea,Route_C,268.61
cosmetics,R089761-0000/18,18.64,64.0,469.0,4831.26,Unknown,74.0,11.0,47.0,3.0,Carrier B,5.35,Supplier 5,Delhi,16.0,489.0,4.0,58.62,Pending,1.69,Sea,Route_C,207.58
cosmetics,R089755-0000/04,63.75,45.0,957.0,1368.68,Non-binary,42.0,7.0,60.0,4.0,Carrier C,2.74,Supplier 3,Delhi,13.0,352.0,29.0,48.25,Pending,0.45,Air,Route_B,728.39
skincare,R089752-0000/04,32.58,71.0,606.0,9208.4,Female,66.0,2.0,62.0,5.0,Carrier B,1.16,Supplier 4,Delhi,14.0,628.0,16.0,63.58,Pass,1.65,Sea,Route_A,332.15
skincare,R089753-0000/20,16.85,38.0,405.0,1408.83,Male,97.0,29.0,45.0,1.0,Carrier C,2.27,Supplier 4,Kolkata,6.0,455.0,4.0,59.88,Fail,0.13,Sea,Route_C,522.61
haircare,R089624-0000/00,74.29,59.0,198.0,9494.59,Non-binary,34.0,28.0,97.0,8.0,Carrier B,6.49,Supplier 2,Chennai,21.0,114.0,9.0,12.88,Fail,4.77,Sea,Route_C,996.25
cosmetics,R089500-0000/04,59.11,10.0,345.0,3329.45,Unknown,72.0,13.0,62.0,1.0,Carrier B,3.53,Supplier 1,Delhi,25.0,421.0,21.0,11.22,Fail,2.94,Air,Route_A,217.5
cosmetics,R089500-0000/01,80.14,9.0,116.0,4348.68,Male,20.0,22.0,81.0,5.0,Carrier C,3.5,Supplier 1,Delhi,14.0,870.0,27.0,71.01,Fail,1.34,Road,Route_C,232.04
skincare,R089685-0000/20,63.76,26.0,621.0,4859.71,Male,91.0,17.0,36.0,3.0,Carrier C,2.15,Supplier 3,Mumbai,7.0,279.0,11.0,96.24,Pass,3.83,Air,Route_C,560.76
skincare,R089684-0000/20,35.49,82.0,975.0,1207.36,Male,30.0,9.0,23.0,7.0,Carrier C,3.21,Supplier 3,Bangalore,13.0,763.0,29.0,30.24,Pending,1.31,Road,Route_C,418.32
cosmetics,R089682-0000/20,76.61,92.0,261.0,5128.46,Unknown,10.0,12.0,42.0,8.0,Carrier A,8.16,Supplier 1,Kolkata,26.0,411.0,1.0,41.2,Fail,4.21,Air,Route_C,492.24
cosmetics,R089764-0000/18,45.38,29.0,777.0,2782.99,Unknown,84.0,13.0,90.0,7.0,Carrier B,9.57,Supplier 1,Mumbai,12.0,130.0,8.0,78.85,Pass,1.68,Air,Route_B,298.14
haircare,R171400-0000/00,38.47,71.0,379.0,5525.41,Female,8.0,15.0,72.0,2.0,Carrier A,6.55,Supplier 5,Kolkata,3.0,267.0,28.0,19.68,Pass,3.15,Air,Route_C,181.24
cosmetics,C638313-0000/06,19.45,65.0,815.0,9041.71,Male,7.0,21.0,37.0,6.0,Carrier B,5.75,Supplier 5,Delhi,13.0,781.0,15.0,40.79,Fail,4.95,Road,Route_B,142.88
skincare,C638265-0000/22,33.82,50.0,111.0,2551.16,Female,77.0,24.0,58.0,2.0,Carrier A,6.67,Supplier 5,Mumbai,15.0,786.0,9.0,89.01,Pending,2.63,Road,Route_C,142.49
cosmetics,C638217-0000/11,72.93,81.0,54.0,5707.66,Non-binary,95.0,22.0,91.0,5.0,Carrier C,5.3,Supplier 3,Kolkata,17.0,860.0,15.0,36.7,Pass,2.69,Air,Route_A,224.78
cosmetics,C638217-0000/22,74.15,81.0,646.0,4720.52,Male,44.0,2.0,73.0,1.0,Carrier B,3.7,Supplier 2,Bangalore,25.0,194.0,18.0,24.41,Pending,0.67,Rail,Route_C,424.49
skincare,C624159-0000/04,85.85,18.0,756.0,9819.9,Non-binary,58.0,12.0,30.0,3.0,Carrier A,1.99,Supplier 1,Bangalore,20.0,709.0,4.0,74.75,Fail,2.06,Air,Route_A,247.89
cosmetics,C631982-1384/36,56.03,58.0,372.0,3317.42,Female,62.0,1.0,47.0,9.0,Carrier B,6.27,Supplier 3,Mumbai,16.0,116.0,29.0,88.87,Pass,2.85,Road,Route_A,759.27
haircare,C631982-1384/20,94.02,23.0,2.0,5012.0,Male,18.0,20.0,22.0,4.0,Carrier B,4.67,Supplier 3,Chennai,11.0,436.0,6.0,96.9,Fail,2.6,Road,Route_C,510.45
cosmetics,C631968-1455/20,7.67,76.0,578.0,4889.66,Female,25.0,13.0,93.0,4.0,Carrier B,9.2,Supplier 3,Kolkata,7.0,229.0,22.0,35.78,Pending,1.28,Road,Route_A,865.45
haircare,C631968-1384/20,36.13,97.0,358.0,5050.55,Female,65.0,20.0,91.0,1.0,Carrier B,5.88,Supplier 5,Chennai,18.0,823.0,5.0,92.18,Pass,4.19,Rail,Route_B,909.37
cosmetics,C631967-1455/36,30.48,70.0,965.0,3257.55,Female,41.0,21.0,79.0,3.0,Carrier B,5.1,Supplier 3,Mumbai,20.0,988.0,1.0,48.37,Pending,1.0,Road,Route_B,825.56
cosmetics,C631967-1455/20,45.1,28.0,733.0,9251.14,Non-binary,9.0,10.0,29.0,8.0,Carrier B,2.54,Supplier 1,Bangalore,17.0,339.0,7.0,76.7,Pending,3.27,Rail,Route_B,277.09
cosmetics,C631966-1455/36,67.3,25.0,18.0,9088.17,Male,63.0,7.0,79.0,3.0,Carrier B,6.25,Supplier 4,Mumbai,9.0,542.0,3.0,53.21,Fail,2.48,Sea,Route_A,734.15
skincare,C619893-0003/44,55.74,17.0,399.0,3684.97,Unknown,84.0,4.0,52.0,1.0,Carrier C,1.94,Supplier 3,Delhi,20.0,187.0,9.0,56.48,Fail,4.41,Sea,Route_A,442.05
cosmetics,C619893-0003/35,88.59,36.0,178.0,3101.33,Non-binary,36.0,1.0,28.0,5.0,Carrier C,8.4,Supplier 1,Kolkata,7.0,193.0,26.0,27.46,Pending,0.52,Rail,Route_C,131.15
skincare,C619893-0003/20,10.02,64.0,375.0,3403.25,Unknown,37.0,13.0,56.0,8.0,Carrier B,5.25,Supplier 3,Bangalore,7.0,591.0,15.0,65.52,Fail,4.58,Sea,Route_C,330.6
cosmetics,C619890-0003/44,53.25,53.0,112.0,5644.67,Female,78.0,14.0,62.0,8.0,Carrier C,3.29,Supplier 4,Delhi,6.0,738.0,11.0,96.67,Fail,2.74,Road,Route_A,872.44
haircare,C619890-0003/04,15.67,20.0,910.0,7756.32,Non-binary,12.0,11.0,19.0,9.0,Carrier C,1.67,Supplier 4,Bangalore,28.0,177.0,11.0,39.96,Pass,2.01,Road,Route_B,989.04
haircare,C650382-0520/04,44.28,36.0,491.0,1981.06,Female,68.0,21.0,58.0,1.0,Carrier B,6.23,Supplier 2,Delhi,24.0,819.0,20.0,88.47,Pending,1.83,Rail,Route_B,742.92
skincare,C650365-0520/51,59.45,7.0,2.0,4363.35,Non-binary,5.0,12.0,46.0,7.0,Carrier C,5.61,Supplier 3,Mumbai,10.0,867.0,5.0,79.5,Pending,2.62,Sea,Route_C,911.87
skincare,M080115-0000/20,47.33,87.0,514.0,4186.84,Male,1.0,12.0,99.0,1.0,Carrier A,5.96,Supplier 1,Kolkata,28.0,336.0,22.0,25.14,Fail,1.07,Sea,Route_A,788.01
haircare,R014100-0000/41,12.29,78.0,598.0,2167.27,Male,93.0,5.0,36.0,3.0,Carrier A,5.13,Supplier 4,Delhi,12.0,447.0,11.0,73.67,Fail,3.03,Road,Route_C,440.64
skincare,C635565-W032/00,18.6,77.0,435.0,5276.34,Unknown,85.0,12.0,31.0,4.0,Carrier A,4.71,Supplier 2,Kolkata,18.0,396.0,15.0,77.54,Pass,2.16,Sea,Route_A,754.15
skincare,C635565-W008/00,11.24,18.0,237.0,4259.45,Male,68.0,1.0,24.0,7.0,Carrier A,6.28,Supplier 5,Delhi,19.0,404.0,25.0,30.73,Pass,0.45,Road,Route_C,230.85
haircare,C635565-W003/00,3.33,32.0,211.0,6011.04,Unknown,40.0,26.0,34.0,3.0,Carrier A,5.87,Supplier 1,Delhi,3.0,936.0,12.0,69.86,Pending,0.25,Rail,Route_C,692.76
cosmetics,C572082-0103/03,64.1,55.0,520.0,1870.56,Male,48.0,22.0,79.0,8.0,Carrier C,4.72,Supplier 4,Delhi,26.0,118.0,23.0,38.79,Fail,3.92,Rail,Route_A,575.75
haircare,C572082-0101/01,82.77,20.0,932.0,2584.09,Male,34.0,7.0,31.0,7.0,Carrier C,6.73,Supplier 2,Mumbai,1.0,579.0,4.0,94.44,Pass,0.03,Rail,Route_B,827.64
skincare,C572065-0121/07,75.6,41.0,48.0,8822.84,Female,43.0,11.0,88.0,8.0,Carrier B,3.64,Supplier 3,Mumbai,15.0,946.0,26.0,50.67,Pending,1.32,Road,Route_C,274.41
skincare,C572057-0108/06,93.08,79.0,486.0,6862.73,Female,24.0,2.0,20.0,6.0,Carrier A,9.16,Supplier 2,Kolkata,14.0,468.0,29.0,43.21,Pending,4.83,Air,Route_C,728.33
haircare,C572029-0103/04,13.23,80.0,528.0,2950.02,Male,40.0,7.0,41.0,5.0,Carrier B,2.11,Supplier 1,Delhi,2.0,303.0,13.0,66.32,Pending,3.52,Rail,Route_A,562.7
cosmetics,C572017-0121/08,52.04,28.0,390.0,8262.83,Unknown,80.0,11.0,98.0,9.0,Carrier B,5.06,Supplier 2,Chennai,22.0,695.0,28.0,32.23,Pending,3.6,Sea,Route_C,460.4
skincare,C570362-0236/03,2.51,87.0,557.0,4349.13,Unknown,6.0,11.0,81.0,7.0,Carrier A,1.39,Supplier 3,Chennai,11.0,967.0,6.0,66.67,Pass,2.2,Air,Route_A,332.53
haircare,C570358-0601/06,31.32,89.0,407.0,7012.42,Female,8.0,10.0,63.0,3.0,Carrier C,8.55,Supplier 1,Kolkata,16.0,543.0,7.0,41.42,Pass,0.69,Rail,Route_A,939.39
haircare,C570358-0601/05,96.22,47.0,570.0,3121.73,Non-binary,64.0,8.0,40.0,7.0,Carrier B,9.86,Supplier 5,Kolkata,26.0,253.0,19.0,94.49,Fail,1.23,Air,Route_A,633.84
skincare,C570343-0236/01,71.93,79.0,127.0,5020.45,Non-binary,56.0,16.0,77.0,5.0,Carrier C,9.71,Supplier 3,Delhi,16.0,247.0,9.0,19.2,Fail,4.86,Road,Route_B,280.52
haircare,C570343-0190/03,80.91,61.0,699.0,9735.75,Non-binary,98.0,26.0,86.0,9.0,Carrier C,1.62,Supplier 4,Delhi,11.0,961.0,6.0,91.07,Fail,2.2,Rail,Route_A,578.55
cosmetics,C570340-0569/04,12.12,52.0,540.0,7574.14,Male,74.0,28.0,15.0,9.0,Carrier C,5.33,Supplier 5,Kolkata,7.0,645.0,7.0,87.47,Pass,3.43,Road,Route_A,617.57
cosmetics,C570340-0334/01,41.37,74.0,192.0,2868.55,Non-binary,52.0,18.0,11.0,5.0,Carrier A,3.25,Supplier 4,Delhi,8.0,288.0,14.0,61.11,Fail,1.48,Rail,Route_B,486.84
cosmetics,C570340-0236/03,3.92,35.0,14.0,3467.66,Male,7.0,8.0,73.0,3.0,Carrier C,5.12,Supplier 5,Delhi,27.0,154.0,12.0,69.67,Pass,4.62,Rail,Route_A,987.68
skincare,C570340-0236/01,36.77,71.0,33.0,6338.73,Male,53.0,18.0,9.0,9.0,Carrier B,8.76,Supplier 5,Delhi,27.0,122.0,4.0,27.4,Pending,4.12,Rail,Route_B,974.3
haircare,C644686-6002/02,6.61,10.0,564.0,9014.92,Male,6.0,27.0,65.0,1.0,Carrier A,7.12,Supplier 1,Bangalore,26.0,801.0,9.0,90.28,Pending,3.9,Rail,Route_A,287.0
haircare,C644682-0529/01,34.71,99.0,407.0,6006.9,Unknown,96.0,22.0,70.0,5.0,Carrier C,10.0,Supplier 1,Mumbai,5.0,784.0,28.0,54.43,Pending,2.36,Sea,Route_C,905.13
cosmetics,C644645-0529/01,32.06,84.0,102.0,3996.24,Female,77.0,25.0,44.0,7.0,Carrier C,1.26,Supplier 1,Kolkata,1.0,878.0,15.0,26.61,Fail,2.52,Air,Route_C,868.95
cosmetics,C642679-1301/00,10.54,37.0,491.0,6332.92,Non-binary,4.0,24.0,88.0,7.0,Carrier C,5.61,Supplier 2,Bangalore,10.0,203.0,11.0,76.64,Pending,1.31,Road,Route_C,479.29
haircare,C642665-1301/00,66.87,95.0,558.0,5730.23,Female,44.0,12.0,47.0,1.0,Carrier C,1.58,Supplier 2,Kolkata,24.0,147.0,26.0,81.13,Pass,1.48,Road,Route_B,803.22
haircare,C640343-0142/02,28.98,91.0,783.0,8041.29,Female,54.0,18.0,85.0,8.0,Carrier C,4.49,Supplier 2,Kolkata,2.0,246.0,28.0,58.27,Pass,4.04,Air,Route_B,538.29
cosmetics,R170500-0000/00,2.41,62.0,879.0,8163.45,Unknown,12.0,23.0,89.0,6.0,Carrier A,2.53,Supplier 3,Chennai,13.0,108.0,27.0,35.18,Pending,0.97,Air,Route_B,698.13
skincare,C628082-47365/0,28.53,97.0,13.0,5760.34,Unknown,35.0,28.0,81.0,5.0,Carrier B,6.69,Supplier 2,Delhi,1.0,321.0,9.0,49.91,Pass,4.16,Rail,Route_C,897.79
haircare,C648682-47365/0,52.62,4.0,821.0,3178.62,Non-binary,74.0,17.0,17.0,5.0,Carrier B,1.37,Supplier 3,Chennai,9.0,755.0,17.0,63.67,Fail,3.86,Road,Route_C,869.57
cosmetics,C641765-20412/7,16.33,87.0,341.0,8288.46,Female,80.0,16.0,24.0,4.0,Carrier A,4.97,Supplier 3,Delhi,16.0,684.0,26.0,52.4,Pass,0.91,Sea,Route_A,906.47
haircare,T020122-0000/00,44.56,66.0,812.0,3729.28,Female,20.0,20.0,34.0,2.0,Carrier A,7.26,Supplier 5,Kolkata,20.0,348.0,10.0,80.19,Fail,1.05,Road,Route_C,260.11
cosmetics,C623548-0000/20,89.32,82.0,30.0,7531.09,Non-binary,33.0,8.0,68.0,3.0,Carrier B,2.97,Supplier 2,Chennai,21.0,696.0,7.0,54.34,Fail,1.23,Road,Route_B,623.12
haircare,C617115-12900/1,8.35,22.0,219.0,5208.77,Male,28.0,6.0,20.0,5.0,Carrier B,3.85,Supplier 4,Mumbai,25.0,737.0,19.0,65.68,Pass,1.8,Sea,Route_B,465.61
skincare,C518009-0000/04,91.64,43.0,40.0,6872.06,Non-binary,85.0,29.0,55.0,3.0,Carrier A,2.44,Supplier 3,Delhi,4.0,949.0,28.0,26.74,Pass,4.11,Sea,Route_B,879.76
cosmetics,C518007-0000/29,64.64,50.0,739.0,4549.79,Unknown,6.0,3.0,64.0,8.0,Carrier A,8.2,Supplier 4,Bangalore,10.0,861.0,14.0,36.84,Pass,2.54,Road,Route_C,206.6
cosmetics,C651282-520A/27,66.29,35.0,981.0,6459.3,Female,37.0,21.0,77.0,4.0,Carrier C,4.36,Supplier 3,Delhi,25.0,184.0,20.0,59.6,Pending,2.09,Rail,Route_B,162.91
skincare,C651265-492A/72,99.23,9.0,207.0,4182.34,Unknown,63.0,21.0,71.0,8.0,Carrier B,8.0,Supplier 3,Delhi,12.0,391.0,29.0,47.25,Pending,4.56,Sea,Route_B,295.33
skincare,C651265-486A/27,4.66,98.0,932.0,9949.61,Female,80.0,21.0,23.0,7.0,Carrier A,5.2,Supplier 5,Chennai,12.0,745.0,13.0,29.6,Fail,3.26,Air,Route_A,254.43
cosmetics,C642044-15519/4,90.38,87.0,105.0,7771.32,Female,25.0,11.0,47.0,4.0,Carrier C,5.2,Supplier 5,Mumbai,12.0,900.0,15.0,60.71,Pass,0.12,Rail,Route_C,733.12
cosmetics,C643382-671A/61,40.77,90.0,166.0,2639.55,Unknown,86.0,8.0,4.0,3.0,Carrier A,1.91,Supplier 5,Delhi,15.0,634.0,6.0,31.08,Pending,0.02,Air,Route_A,178.37
haircare,C643382-373A/68,15.7,94.0,615.0,6323.64,Male,55.0,10.0,63.0,2.0,Carrier C,6.01,Supplier 1,Kolkata,5.0,861.0,14.0,49.39,Pending,1.82,Road,Route_B,751.44
cosmetics,C643365-374A/18,28.96,81.0,979.0,3649.61,Non-binary,22.0,11.0,23.0,3.0,Carrier B,5.93,Supplier 5,Delhi,15.0,177.0,17.0,91.76,Pending,1.92,Air,Route_C,414.37
skincare,C643365-373A/18,57.9,71.0,470.0,9401.97,Male,88.0,24.0,20.0,6.0,Carrier A,4.07,Supplier 2,Mumbai,18.0,538.0,14.0,98.2,Pending,1.57,Sea,Route_B,622.33
haircare,C643345-374A/68,27.38,63.0,587.0,1977.32,Unknown,66.0,24.0,32.0,9.0,Carrier A,9.27,Supplier 2,Mumbai,20.0,581.0,7.0,65.57,Pass,1.86,Road,Route_A,443.17
skincare,C643317-671A/61,2.86,37.0,370.0,8856.96,Male,58.0,27.0,8.0,6.0,Carrier A,4.77,Supplier 1,Chennai,16.0,458.0,6.0,21.69,Pending,0.85,Road,Route_A,771.19
cosmetics,C553530-0000/10,82.32,50.0,610.0,4318.89,Non-binary,43.0,10.0,20.0,9.0,Carrier B,1.94,Supplier 3,Delhi,6.0,228.0,16.0,33.91,Pass,0.42,Rail,Route_B,483.13
skincare,C622965-21369/1,37.25,73.0,600.0,9679.92,Male,71.0,16.0,15.0,5.0,Carrier A,6.03,Supplier 4,Kolkata,7.0,540.0,12.0,83.69,Pass,2.94,Road,Route_C,466.96
skincare,R089751-0000/20,40.26,63.0,545.0,8622.57,Female,82.0,10.0,52.0,3.0,Carrier A,2.88,Supplier 5,Chennai,10.0,458.0,5.0,44.15,Pass,2.39,Sea,Route_C,418.27
skincare,R089751-0000/06,19.03,5.0,98.0,8819.51,Unknown,86.0,26.0,33.0,7.0,Carrier B,3.26,Supplier 4,Delhi,22.0,488.0,23.0,81.45,Fail,4.79,Sea,Route_B,226.35
cosmetics,D461000-116A/00,97.46,82.0,18.0,4713.45,Unknown,99.0,28.0,41.0,5.0,Carrier A,3.01,Supplier 4,Chennai,25.0,364.0,29.0,12.32,Pass,2.51,Rail,Route_C,437.53
skincare,D461000-F016/00,29.06,86.0,190.0,4425.35,Unknown,12.0,9.0,46.0,6.0,Carrier A,5.44,Supplier 3,Mumbai,25.0,636.0,27.0,35.1,Pass,3.15,Rail,Route_C,571.26
cosmetics,D461000-116D/00,95.66,16.0,861.0,6731.04,Male,53.0,29.0,91.0,9.0,Carrier C,9.27,Supplier 1,Kolkata,12.0,743.0,7.0,39.07,Pass,3.12,Rail,Route_C,243.49
cosmetics,D461000-F017/00,71.09,16.0,177.0,2697.14,Female,64.0,23.0,32.0,5.0,Carrier C,3.05,Supplier 5,Kolkata,26.0,214.0,28.0,82.37,Fail,2.01,Rail,Route_B,895.48
haircare,B280923-22861/0,87.04,62.0,828.0,4769.39,Unknown,1.0,23.0,53.0,1.0,Carrier C,1.04,Supplier 4,Delhi,12.0,580.0,8.0,33.06,Pass,0.85,Rail,Route_C,542.85
skincare,B280910-22861/0,59.23,10.0,34.0,5358.28,Male,87.0,13.0,71.0,9.0,Carrier A,1.78,Supplier 1,Bangalore,29.0,883.0,28.0,59.46,Pass,1.48,Road,Route_C,333.99
